DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
5/27/21,862401,405,710379,262,152022,143,818866,7142537,7961403,10678,13,12441,-236,4898,628,845062,3,21918,12433,1
5/26/21,861996,516,710117,366,151879,150,818539,7132186,7950725,12262,22,12428,-102,5134,596,844434,13,21915,12432,6
5/25/21,861480,437,709751,282,151729,155,818109,7120354,7938463,9274,6,12406,-184,5236,615,843838,9,21902,12426,8
5/24/21,861043,464,709469,317,151574,147,817798,7111391,7929189,7875,7,12400,-319,5420,776,843223,13,21893,12418,2
5/23/21,860579,258,709152,190,151427,68,817424,7103890,7921314,5391,6,12393,-225,5739,477,842447,9,21880,12416,7
5/22/21,860321,314,708962,227,151359,87,817186,7098737,7915923,7490,3,12387,-157,5964,468,841970,14,21871,12409,3
5/21/21,860007,525,708735,347,151272,178,816882,7091551,7908433,10234,4,12384,-156,6121,677,841502,11,21857,12406,8
5/20/21,859482,554,708388,391,151094,163,816486,7081713,7898199,24057,16,12380,-216,6277,754,840825,18,21846,12398,11
5/19/21,858928,638,707997,462,150931,176,816018,7058124,7874142,13949,11,12364,-182,6493,809,840071,25,21828,12387,7
5/18/21,858290,573,707535,390,150755,183,815471,7044722,7860193,10641,14,12353,-273,6675,832,839262,21,21803,12380,6
5/17/21,857717,660,707145,390,150572,270,815036,7034516,7849552,9139,12,12339,-310,6948,958,838430,20,21782,12374,10
5/16/21,857057,276,706755,201,150302,75,814571,7025842,7840413,5293,4,12327,-258,7258,530,837472,15,21762,12364,10
5/15/21,856781,399,706554,290,150227,109,814319,7020801,7835120,8622,1,12323,-221,7516,619,836942,12,21747,12354,7
5/14/21,856382,808,706264,580,150118,228,813929,7012569,7826498,12084,10,12322,59,7737,739,836323,29,21735,12347,12
5/13/21,855574,709,705684,473,149890,236,813259,7001155,7814414,12390,7,12312,-177,7678,879,835584,17,21706,12335,5
5/12/21,854865,897,705211,661,149654,236,812707,6989317,7802024,17235,9,12305,-41,7855,929,834705,31,21689,12330,10
5/11/21,853968,846,704550,620,149418,226,811887,6972902,7784789,11474,4,12296,-150,7896,992,833776,28,21658,12320,6
5/10/21,853122,629,703930,381,149192,248,811247,6962068,7773315,7515,16,12292,-572,8046,1185,832784,30,21630,12314,10
5/9/21,852493,376,703549,283,148944,93,810812,6954988,7765800,6858,19,12276,-333,8618,690,831599,20,21600,12304,8
5/8/21,852117,559,703266,396,148851,163,810484,6948458,7758942,10282,0,12257,-85,8951,644,830909,13,21580,12296,9
5/7/21,851558,1034,702870,734,148688,300,809975,6938685,7748660,14997,2,12257,69,9036,963,830265,25,21567,12287,8
5/6/21,850524,789,702136,542,148388,247,809125,6924538,7733663,11572,11,12255,-286,8967,1064,829302,24,21542,12279,12
5/5/21,849735,1208,701594,759,148141,449,808492,6913599,7722091,17612,16,12244,226,9253,966,828238,37,21518,12267,12
5/4/21,848527,853,700835,598,147692,255,807619,6896860,7704479,12161,11,12228,-304,9027,1146,827272,30,21481,12255,9
5/3/21,847674,655,700237,449,147437,206,806925,6885393,7692318,8383,13,12217,-635,9331,1277,826126,30,21451,12246,6
5/2/21,847019,499,699788,373,147231,126,806403,6877532,7683935,7358,1,12204,-222,9966,720,824849,22,21421,12240,11
5/1/21,846520,608,699415,446,147105,162,805966,6870611,7676577,10355,-1,12203,-131,10188,740,824129,23,21399,12229,7
4/30/21,845912,1073,698969,771,146943,302,805475,6860747,7666222,14923,7,12204,12,10319,1054,823389,29,21376,12222,10
4/29/21,844839,1029,698198,681,146641,348,804607,6846692,7651299,14642,9,12197,-119,10307,1139,822335,29,21347,12212,10
4/28/21,843810,1194,697517,859,146293,335,803830,6832827,7636657,20508,17,12188,-94,10426,1271,821196,45,21318,12202,9
4/27/21,842616,1159,696658,710,145958,449,802832,6813317,7616149,13779,8,12171,-80,10520,1231,819925,46,21273,12193,12
4/26/21,841457,1091,695948,713,145509,378,802034,6800336,7602370,9822,11,12163,-377,10600,1457,818694,28,21227,12181,11
4/25/21,840366,552,695235,425,145131,127,801251,6791297,7592548,8248,6,12152,-269,10977,815,817237,26,21199,12170,7
4/24/21,839814,752,694810,564,145004,188,800736,6783564,7584300,13044,0,12146,-174,11246,926,816422,30,21173,12163,7
4/23/21,839062,953,694246,690,144816,263,800093,6771163,7571256,14907,4,12146,-217,11420,1166,815496,24,21143,12156,5
4/22/21,838109,1848,693556,1041,144553,807,799252,6757097,7556349,22084,12,12142,551,11637,1285,814330,33,21119,12151,12
4/21/21,836261,1382,692515,943,143746,439,798061,6736204,7534265,17937,19,12130,118,11086,1245,813045,24,21086,12139,15
4/20/21,834879,1096,691572,900,143307,196,797006,6719322,7516328,13973,15,12111,-260,10968,1341,811800,46,21062,12124,8
4/19/21,833783,841,690672,546,143111,295,796031,6706324,7502355,9282,15,12096,-691,11228,1517,810459,37,21016,12116,11
4/18/21,832942,560,690126,479,142816,81,795417,6697656,7493073,8184,17,12081,-162,11919,705,808942,17,20979,12105,11
4/17/21,832382,705,689647,574,142735,131,794841,6690048,7484889,11805,1,12064,-77,12081,781,808237,17,20962,12094,10
4/16/21,831677,4214,689073,3993,142604,221,794172,6678912,7473084,35540,14,12063,3240,12158,960,807456,37,20945,12084,6
4/15/21,827463,1374,685080,998,142383,376,789477,6648067,7437544,18271,8,12049,158,8918,1208,806496,35,20908,12078,12
4/14/21,826089,1803,684082,1337,142007,466,788381,6630892,7419273,24930,9,12041,651,8760,1143,805288,36,20873,12066,11
4/13/21,824286,1138,682745,708,141541,430,786862,6607481,7394343,10967,10,12032,-98,8109,1226,804145,33,20837,12055,11
4/12/21,823148,1231,682037,881,141111,350,786107,6597269,7383376,9376,7,12022,-155,8207,1379,802919,31,20804,12044,15
4/11/21,821917,653,681156,461,140761,192,785111,6588889,7374000,7668,3,12015,-187,8362,837,801540,21,20773,12029,5
4/10/21,821264,872,680695,605,140569,267,784590,6581742,7366332,12240,8,12012,122,8549,742,800703,24,20752,12024,10
4/9/21,820392,1339,680090,1044,140302,295,783853,6570239,7354092,16476,3,12004,216,8427,1120,799961,37,20728,12014,13
4/8/21,819053,1148,679046,781,140007,367,782710,6554906,7337616,15052,4,12001,-50,8211,1194,798841,22,20691,12001,5
4/7/21,817905,1582,678265,1186,139640,396,781825,6540739,7322564,21230,21,11997,327,8261,1234,797647,34,20669,11996,8
4/6/21,816323,1335,677079,883,139244,452,780523,6520811,7301334,14562,9,11976,66,7934,1260,796413,26,20635,11988,5
4/5/21,814988,892,676196,516,138792,376,779516,6507256,7286772,6216,38,11967,-618,7868,1472,795153,43,20609,11983,10
4/4/21,814096,551,675680,414,138416,137,778955,6501601,7280556,9601,7,11929,-263,8486,807,793681,10,20566,11973,16
4/3/21,813545,895,675266,636,138279,259,778464,6492491,7270955,10429,0,11922,8,8749,887,792874,17,20556,11957,14
